genome,KO_number,Modules,median_comparison,TAXAID,pN_pS,order,family,genus,species,SRR,SRR_base,condition
Lachnospiraceae bacterium NK4A144,K00134,M00001,High,877421,0.151366354,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K00134,M00001,High,877421,0.150392334,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.052432702,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.075683177,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873596,SRR873596,Low
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.151366354,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873597,SRR873597,Low
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.176594079,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873598,SRR873598,Low
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.117449252,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.057093386,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.011744925,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873601,SRR873601,Low
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.082563466,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.139722788,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873604,SRR873604,High
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.099721063,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.13454787,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873606,SRR873606,High
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.151366354,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873607,SRR873607,High
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.151366354,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873608,SRR873608,High
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.134045341,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873609,SRR873609,High
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.151366354,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K00134,M00003,High,877421,0.150392334,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.052432702,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.075683177,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873596,SRR873596,Low
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.151366354,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873597,SRR873597,Low
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.176594079,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873598,SRR873598,Low
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.117449252,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.057093386,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.011744925,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873601,SRR873601,Low
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.082563466,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.139722788,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873604,SRR873604,High
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.099721063,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.13454787,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873606,SRR873606,High
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.151366354,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873607,SRR873607,High
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.151366354,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873608,SRR873608,High
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.134045341,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873609,SRR873609,High
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.151366354,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K00134,M00165,High,877421,0.150392334,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.092669476,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.138560411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873596,SRR873596,Low
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.030791203,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873597,SRR873597,Low
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.061582405,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873598,SRR873598,Low
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.023093402,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.083788651,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.091405802,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873601,SRR873601,Low
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.083136247,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.095758459,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.115467009,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873608,SRR873608,High
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.068398899,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873609,SRR873609,High
Lachnospiraceae bacterium NK4A144,K00615,M00165,High,877421,0.061582405,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.085977098,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.024454704,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873598,SRR873598,Low
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.075147244,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.117621774,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.264377249,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873604,SRR873604,High
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.139559168,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.17349757,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873607,SRR873607,High
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.28471396,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873609,SRR873609,High
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.242345812,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K00850,M00001,High,877421,0.154220062,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.088926665,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.099106411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873596,SRR873596,Low
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.110317543,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873597,SRR873597,Low
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.091467427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873598,SRR873598,Low
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.087111835,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.041675516,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.104806427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873601,SRR873601,Low
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.070359559,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.107165613,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873604,SRR873604,High
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.089304678,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.107165613,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873606,SRR873606,High
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.097003357,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873607,SRR873607,High
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.115364322,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873608,SRR873608,High
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.089304678,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873609,SRR873609,High
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.099106411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K00927,M00001,High,877421,0.080706553,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.088926665,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.099106411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873596,SRR873596,Low
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.110317543,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873597,SRR873597,Low
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.091467427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873598,SRR873598,Low
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.087111835,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.041675516,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.104806427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873601,SRR873601,Low
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.070359559,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.107165613,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873604,SRR873604,High
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.089304678,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.107165613,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873606,SRR873606,High
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.097003357,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873607,SRR873607,High
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.115364322,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873608,SRR873608,High
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.089304678,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873609,SRR873609,High
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.099106411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K00927,M00003,High,877421,0.080706553,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.088926665,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.099106411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873596,SRR873596,Low
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.110317543,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873597,SRR873597,Low
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.091467427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873598,SRR873598,Low
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.087111835,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.041675516,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.104806427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873601,SRR873601,Low
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.070359559,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.107165613,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873604,SRR873604,High
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.089304678,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.107165613,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873606,SRR873606,High
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.097003357,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873607,SRR873607,High
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.115364322,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873608,SRR873608,High
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.089304678,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873609,SRR873609,High
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.099106411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K00927,M00165,High,877421,0.080706553,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K01610,M00003,High,877421,0.042651624,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873596,SRR873596,Low
Lachnospiraceae bacterium NK4A144,K01610,M00003,High,877421,0.064688297,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K01610,M00003,High,877421,0.050406465,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K01610,M00003,High,877421,0.041585334,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873601,SRR873601,Low
Lachnospiraceae bacterium NK4A144,K01610,M00003,High,877421,0.114718162,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K01610,M00003,High,877421,0.065231896,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873604,SRR873604,High
Lachnospiraceae bacterium NK4A144,K01610,M00003,High,877421,0.097032445,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K01610,M00003,High,877421,0.064688297,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873607,SRR873607,High
Lachnospiraceae bacterium NK4A144,K01610,M00003,High,877421,0.092411853,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K01624,M00001,High,877421,0.149173257,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K01624,M00001,High,877421,0.059669303,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K01624,M00001,High,877421,0.060821412,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K01624,M00001,High,877421,0,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K01624,M00001,High,877421,0.10136902,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K01624,M00003,High,877421,0.149173257,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K01624,M00003,High,877421,0.059669303,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K01624,M00003,High,877421,0.060821412,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K01624,M00003,High,877421,0,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K01624,M00003,High,877421,0.10136902,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K01624,M00165,High,877421,0.149173257,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K01624,M00165,High,877421,0.059669303,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K01624,M00165,High,877421,0.060821412,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K01624,M00165,High,877421,0,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K01624,M00165,High,877421,0.10136902,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.088926665,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.099106411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873596,SRR873596,Low
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.110317543,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873597,SRR873597,Low
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.091467427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873598,SRR873598,Low
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.087111835,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.041675516,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.104806427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873601,SRR873601,Low
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.070359559,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.107165613,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873604,SRR873604,High
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.089304678,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873605,SRR873605,High
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.107165613,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873606,SRR873606,High
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.097003357,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873607,SRR873607,High
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.115364322,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873608,SRR873608,High
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.089304678,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873609,SRR873609,High
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.099106411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873610,SRR873610,High
Lachnospiraceae bacterium NK4A144,K01803,M00001,High,877421,0.080706553,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR1206671,SRR1206671,High
Lachnospiraceae bacterium NK4A144,K01803,M00003,High,877421,0.088926665,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873595,SRR873595,Low
Lachnospiraceae bacterium NK4A144,K01803,M00003,High,877421,0.099106411,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873596,SRR873596,Low
Lachnospiraceae bacterium NK4A144,K01803,M00003,High,877421,0.110317543,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873597,SRR873597,Low
Lachnospiraceae bacterium NK4A144,K01803,M00003,High,877421,0.091467427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873598,SRR873598,Low
Lachnospiraceae bacterium NK4A144,K01803,M00003,High,877421,0.087111835,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873599,SRR873599,Low
Lachnospiraceae bacterium NK4A144,K01803,M00003,High,877421,0.041675516,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873600,SRR873600,Low
Lachnospiraceae bacterium NK4A144,K01803,M00003,High,877421,0.104806427,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873601,SRR873601,Low
Lachnospiraceae bacterium NK4A144,K01803,M00003,High,877421,0.070359559,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873602,SRR873602,Low
Lachnospiraceae bacterium NK4A144,K01803,M00003,High,877421,0.107165613,Clostridiales,Lachnospiraceae,"",Lachnospiraceae bacterium NK4A144,SRR873604,SRR873604,High
